provider_name,scraping_month,prix_moyen_kwh_base
Wekiwi,2025-03-01,0.2379340909090909
Wekiwi,2025-02-01,0.25710000000000011
Wekiwi,2025-01-01,0.24733548387096776
Wekiwi,2024-12-01,0.277125
Wekiwi,2024-11-01,0.24499999999999997
Wekiwi,2024-10-01,0.24764571428571425
Wekiwi,2024-09-01,0.25881818181818184
Wekiwi,2024-08-01,0.24778431372549023
Wekiwi,2024-07-01,0.277
elmy,2026-06-01,0.2222
elmy,2026-05-01,0.2222
elmy,2026-04-01,0.2222
elmy,2026-03-01,0.21924838709677419
elmy,2026-02-01,0.19166551724137934
elmy,2026-01-01,0.1907
elmy,2025-12-01,0.1907
elmy,2025-11-01,0.1907
elmy,2025-10-01,0.1907
elmy,2025-09-01,0.1907
elmy,2025-08-01,0.19092083333333335
elmy,2025-07-01,0.196
elmy,2025-06-01,0.196
elmy,2025-05-01,0.196
elmy,2025-04-01,0.196
elmy,2025-03-01,0.196
elmy,2025-02-01,0.22213333333333335
elmy,2025-01-01,0.2177
elmy,2024-12-01,0.2177
elmy,2024-11-01,0.2177
elmy,2024-10-01,0.2177
elmy,2024-09-01,0.2177
elmy,2024-08-01,0.2177
elmy,2024-07-01,0.2177
ilek,2026-06-01,0.1951
ilek,2026-05-01,0.20052068965517239
ilek,2026-04-01,0.2059
ilek,2026-03-01,0.19516451612903229
ilek,2026-02-01,0.19669655172413794
ilek,2026-01-01,0.18652857142857143
ilek,2025-12-01,0.1933
ilek,2025-11-01,0.19453870967741937
ilek,2025-10-01,0.1951
ilek,2025-09-01,0.1949
ilek,2025-08-01,0.19555833333333331
ilek,2025-07-01,0.2026
ilek,2025-06-01,0.20169354838709674
ilek,2025-05-01,0.20166551724137935
ilek,2025-04-01,0.2027
ilek,2025-03-01,0.20337741935483869
ilek,2025-02-01,0.20103703703703704
ilek,2025-01-01,0.2516
ilek,2024-12-01,0.2516
ilek,2024-11-01,0.2516
ilek,2024-10-01,0.2516
ilek,2024-09-01,0.2516
ilek,2024-08-01,0.2516
ilek,2024-07-01,0.2516
la bellenergie,2026-06-01,0.17688636363636362
la bellenergie,2026-05-01,0.17694186046511626
la bellenergie,2026-04-01,0.17700000000000002
la bellenergie,2026-03-01,0.177
la bellenergie,2026-02-01,0.18335517241379309
la bellenergie,2026-01-01,0.18025384615384615
la bellenergie,2025-12-01,0.18409999999999999
la bellenergie,2025-11-01,0.18410000000000007
la bellenergie,2025-10-01,0.18742688172043021
la bellenergie,2025-09-01,0.19695
la bellenergie,2025-08-01,0.19713541666666667
la bellenergie,2025-07-01,0.20335000000000006
la bellenergie,2025-06-01,0.20335
la bellenergie,2025-05-01,0.18999999999999997
la bellenergie,2025-04-01,0.19000000000000003
la bellenergie,2025-03-01,0.18999999999999997
la bellenergie,2025-02-01,0.19798518518518518
la bellenergie,2025-01-01,0.18980000000000002
la bellenergie,2024-12-01,0.19460000000000002
la bellenergie,2024-11-01,0.19459999999999994
la bellenergie,2024-10-01,0.1928
la bellenergie,2024-09-01,0.19280000000000005
la bellenergie,2024-08-01,0.19283311258278144
la bellenergie,2024-07-01,0.19279999999999997
papernest energie,2026-06-01,0.2204
papernest energie,2026-05-01,0.2204
papernest energie,2026-04-01,0.2204
papernest energie,2026-03-01,0.21988064516129033
papernest energie,2026-02-01,0.21966206896551727
papernest energie,2026-01-01,0.2186
papernest energie,2025-12-01,0.21972258064516129
papernest energie,2025-11-01,0.2215
papernest energie,2025-10-01,0.2215
papernest energie,2025-09-01,0.2215
papernest energie,2025-08-01,0.21981666666666666
papernest energie,2025-07-01,0.2224
papernest energie,2025-06-01,0.2224
papernest energie,2025-05-01,0.2224
papernest energie,2025-04-01,0.2224
papernest energie,2025-03-01,0.21959032258064518
papernest energie,2025-02-01,0.2232851851851852
papernest energie,2025-01-01,0.2516
papernest energie,2024-12-01,0.2516
papernest energie,2024-11-01,0.2516
papernest energie,2024-10-01,0.2516
papernest energie,2024-09-01,0.2516
papernest energie,2024-08-01,0.2516
papernest energie,2024-07-01,0.2516
"élecocité, Fournisseur d'électricité d' IMPACT",2026-01-01,0.20425000000000001
"élecocité, Fournisseur d'électricité d' IMPACT",2025-12-01,0.20425000000000004
"élecocité, Fournisseur d'électricité d' IMPACT",2025-11-01,0.20424999999999996
"élecocité, Fournisseur d'électricité d' IMPACT",2025-10-01,0.20425000000000001
"élecocité, Fournisseur d'électricité d' IMPACT",2025-09-01,0.20425000000000001
"élecocité, Fournisseur d'électricité d' IMPACT",2025-08-01,0.20443749999999997
"élecocité, Fournisseur d'électricité d' IMPACT",2025-07-01,0.20875
"élecocité, Fournisseur d'électricité d' IMPACT",2025-06-01,0.20875
"élecocité, Fournisseur d'électricité d' IMPACT",2025-05-01,0.20875
"élecocité, Fournisseur d'électricité d' IMPACT",2025-04-01,0.20875000000000002
"élecocité, Fournisseur d'électricité d' IMPACT",2025-03-01,0.20875
"élecocité, Fournisseur d'électricité d' IMPACT",2025-02-01,0.2081851851851852
"élecocité, Fournisseur d'électricité d' IMPACT",2025-01-01,0.25905
"élecocité, Fournisseur d'électricité d' IMPACT",2024-12-01,0.25905
"élecocité, Fournisseur d'électricité d' IMPACT",2024-11-01,0.25904999999999995
"élecocité, Fournisseur d'électricité d' IMPACT",2024-10-01,0.25904999999999995
"élecocité, Fournisseur d'électricité d' IMPACT",2024-09-01,0.25905000000000006
"élecocité, Fournisseur d'électricité d' IMPACT",2024-08-01,0.25905
"élecocité, Fournisseur d'électricité d' IMPACT",2024-07-01,0.25905
